quercus.sp	agrilus.sp	interaction	min.dist.mean	min.dist.mean.norm	min.dist.mean.log	min.dist.median	min.dist.median.norm	min.dist.median.log
Q. kelloggii	A. cyaneoniger	0	19262.2040351603	1	1	19342.2563643321	1	1
Q. kelloggii	A. defectus	0	149.457327218492	0.988524013208823	0.448818360149776	138.450636895814	0.978370902651985	0.527340457419771
Q. kelloggii	A. geminatus	0	1357.21450751998	1	0.699049064780177	1377.51226173142	1	0.747157902296011
Q. kelloggii	A. graminis	0	92.1733879169064	0.817167836811091	0.394029046416569	64.1529226707421	0.560940130160759	0.453801449247064
Q. kelloggii	A. grandiceps	0	7094.96512888795	1	0.88668847179846	7147.49805031823	1	0.904725664817893
Q. kelloggii	A. hastulifer	0	269.958680643508	0.999999532346337	0.515864655165488	181.1039795573	0.998583732348708	0.553025943219919
Q. kelloggii	A. hemiphanes	0	1722.09968415169	1	0.726061638077328	1794.35799065342	1	0.77245710960825
Q. kelloggii	A. laticornis	0	269.958680643508	0.999999532346337	0.515864655165488	181.1039795573	0.998583732348708	0.553025943219919
Q. kelloggii	A. niveoguttatus	0	18778.6708519176	1	0.997115676549743	18814.1437397371	1	0.997350645166252
Q. kelloggii	A. obscuricollis	0	269.958680643508	0.999999532346337	0.515864655165488	181.1039795573	0.998583732348708	0.553025943219919
Q. kelloggii	A. obsoletoguttatus	0	48.0405023287059	0.369711717379743	0.320212719488488	36.3920475512853	0.232699083226715	0.399659122307597
Q. kelloggii	A. osburni	0	1418.99272838377	1	0.704098827669151	1569.64349285592	1	0.759652930048342
Q. kelloggii	A. parkeri	0	667.586938805517	1	0.618560314328238	808.155458693418	1	0.696126304108093
Q. kelloggii	A. quercicola	0	84.15182660372	0.757391436475538	0.383710977544743	62.3982971399101	0.541002032571664	0.451151634238487
Q. kelloggii	A. relegatoides	0	13524.1434823396	1	0.959875415158616	13531.4979231349	1	0.965808212398356
Q. kelloggii	A. relegatus	0	7094.96512888795	1	0.88668847179846	7147.49805031823	1	0.904725664817893
Q. kelloggii	A. samai	0	13736.3507360359	1	0.961641774879042	13742.5700137354	1	0.967289508549777
Q. kelloggii	A. sulcicollis	0	269.958680643508	0.999999532346337	0.515864655165488	181.1039795573	0.998583732348708	0.553025943219919
Q. kelloggii	A. ussuricola	0	448.199126641425	1	0.57336521095124	406.144120953819	0.999999999999995	0.630289927212255
Q. nigra	A. acutipennis	0	360.37679065495	0.999999999994758	0.548566342043765	354.72601507151	0.999999999988238	0.600060090039757
Q. nigra	A. albocomus	0	1041.03047254771	1	0.674045385483656	1078.30963935748	1	0.716189469016286
Q. nigra	A. angelicus	0	1878.26186687919	1	0.743856686631328	1916.07322784854	1	0.776242740854103
Q. nigra	A. angustulus	0	79.8291637398658	0.720440205842203	0.370364173747828	49.8629226580536	0.391806512243362	0.395264556975757
Q. nigra	A. arcuatus	0	15.2913955404387	0.0456887047962709	0.17547554623423	3.18287059114729	0.0020240818180335	0.110840979076864
Q. nigra	A. asiaticus	0	53.3876312029918	0.434501611484603	0.322841953618552	35.4587527771038	0.222339036776317	0.359735169935615
Q. nigra	A. atricornis	0	10.2924891924977	0.0209641976128905	0.129013945850515	3.34839616129215	0.00223983917884625	0.115979918652318
Q. nigra	A. auroguttatus	0	1061.32444323322	1	0.676329240244542	1119.72226847316	1	0.720126132942643
Q. nigra	A. biguttatus	0	268.29774344881	0.99999944078724	0.513671207767865	227.830211353597	0.999968993727681	0.553823331969941
Q. nigra	A. bilineatus	0	8.30178550053777	0.0136893651404256	0.103857547518578	3.14751313718454	0.00197940617636367	0.109709714506939
Q. nigra	A. chiricahuae	0	1489.89574535138	1	0.71645393984577	1557.17895561989	1	0.75457689872366
Q. nigra	A. coxalis	0	1554.40308041153	1	0.721468046952924	1485.44484645753	1	0.749650301712337
Q. nigra	A. crinicornis	0	3.39232992893684	0.00229893386387147	0	1.03624026683014	0.000214735719104166	0
Q. nigra	A. cyaneoniger	0	16370.6920976143	1	1	16316.4861866882	1	1
Q. nigra	A. defectus	0	12.247839803557	0.0295563257949372	0.14940956949739	3.736927205627	0.00278902840150538	0.127133306212074
Q. nigra	A. geminatus	0	14.3441615585014	0.0403157877074321	0.167960971391492	3.75106185951353	0.00281013716660978	0.127517447129732
Q. nigra	A. graminis	0	79.8291637398658	0.720440205842203	0.370364173747828	49.8629226580536	0.391806512243362	0.395264556975757
Q. nigra	A. grandiceps	0	4610.17600470268	1	0.85008183079672	4547.26068137791	1	0.866526663881887
